업종,업종코드,공장규모,용도지역,생산품,대기오염,수질오염,소음/진동여부,생활용수(톤/일),산업용수(톤/일),lon,lat
액체 펌프 제조업,29131,소기업,도시지역,수중모터펌프,해당없음,해당없음,유,0,0,126.970714,37.388819
"기타 인쇄업,오프셋 인쇄업",1811918113,중기업,도시지역,인쇄물,해당없음,5종,유,,23,126.899806,37.431377
비 및 솔 제조업,33993,소기업,도시지역,"화장용품,솔",해당없음,해당없음,무,0,0,126.943008,37.38998
"전자기 측정, 시험 및 분석기구 제조업",27212,중기업,도시지역,인쇄기판검사기구,해당없음,해당없음,유,12,0,126.944464,37.385182
"안경 및 안경렌즈 제조업,광학렌즈 및 광학요소 제조업",2719327301,소기업,도시지역,광학렌즈,해당없음,해당없음,무,0,0,126.975359,37.396014
"물질 검사, 측정 및 분석기구 제조업,기타 주변기기 제조업,산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업,그 외 기타 특수목적용 기계 제조업",2.72E+19,소기업,도시지역,"자동차검사장비,출입통제시스템",해당없음,해당없음,무,0,0,126.933589,37.387679
주형 및 금형 제조업,29294,소기업,도시지역,프라스틱금형,해당없음,해당없음,무,0,0,126.941901,37.387601
"액체 여과기 제조업,탭, 밸브 및 유사장치 제조업,산업용 로봇 제조업",2.92E+14,소기업,도시지역,수처리시설 자외선소독기 수도꼭지,해당없음,해당없음,무,0,0,126.970411,37.40026
"경 인쇄업,오프셋 인쇄업",1811118113,소기업,도시지역,경인쇄,해당없음,해당없음,무,0,0,126.970255,37.390978
"기타 무선 통신장비 제조업,유인 항공기, 항공우주선 및 보조장치 제조업,무인 항공기 및 무인 비행장치 제조업",2.64E+14,소기업,도시지역,무선통신중계기,해당없음,해당없음,무,0,0,126.96757,37.401515
인형 및 장난감 제조업,33401,소기업,도시지역,과학교재 무선비행기,해당없음,해당없음,무,0,0,126.96757,37.401515
"기타 전기 변환장치 제조업,에너지 저장장치 제조업",2811928114,소기업,도시지역,무정전전원장치,해당없음,해당없음,무,0,0,126.972984,37.391272
